tconst,title,type,year,minutes,rating,votes,principals,genre
tt0098864,Molloy,tvSeries,1990,30,6.4,47,10,Comedy
tt0098867,My Talk Show,tvSeries,1990,30,7.8,36,10,Comedy
tt0098868,Nasty Boys,tvSeries,1990,60,7.4,116,10,Action
tt0098872,New Attitude,tvSeries,1990,30,7.8,24,10,Comedy
tt0098877,Normal Life,tvSeries,1990,30,7.0,24,10,Comedy
tt0098878,Northern Exposure,tvSeries,1990,60,8.3,14969,10,Comedy
tt0098882,One Foot in the Grave,tvSeries,1990,90,7.8,5595,10,Comedy
tt0098884,Over My Dead Body,tvSeries,1990,60,7.5,33,10,Crime
tt0098887,Parenthood,tvSeries,1990,60,5.6,258,10,Comedy
tt0098888,Parker Lewis Can't Lose,tvSeries,1990,30,7.9,5052,10,Comedy
tt0098889,Chillers,tvSeries,1990,50,6.8,91,10,Action
tt0098891,Peter Pan and the Pirates,tvSeries,1990,30,7.3,588,10,Adventure
tt0098898,Mobil Masterpiece Theatre: Prime Suspect,tvMiniSeries,1991,207,8.4,6626,10,Crime
tt0098900,Tales from Avonlea,tvSeries,1990,60,8.5,3932,10,Adventure
tt0098907,Shades of LA,tvSeries,1990,60,7.8,21,10,Crime
tt0098908,Shannon's Deal,tvSeries,1990,60,8.7,87,10,Drama
tt0098911,Shortland Street,tvSeries,1992,30,4.7,848,10,Drama
tt0098912,The Silver Chair,tvSeries,1990,30,7.1,1819,10,Adventure
tt0098915,Sugar and Spice,tvSeries,1990,30,5.8,14,10,Comedy
tt0098916,Sunset Beat,tvSeries,1990,60,4.1,33,10,Drama
tt0098917,Super Force,tvSeries,1990,30,7.1,312,10,Action
tt0098919,Swamp Thing,tvSeries,1990,30,6.5,737,10,Other
tt0098922,Sydney,tvSeries,1990,30,7.8,43,10,Comedy
tt0098923,TECX,tvSeries,1990,50,7.2,21,10,Action
tt0098924,TaleSpin,tvSeries,1990,30,7.6,13392,10,Action
tt0098927,They Came from Outer Space,tvSeries,1990,60,6.7,144,10,Comedy
tt0098929,Steven Spielberg Presents... Tiny Toon Adventures,tvSeries,1990,21,7.5,11794,10,Adventure
tt0098931,Top Cops,tvSeries,1990,60,7.5,47,10,Action
tt0098932,The Trials of Rosie O'Neill,tvSeries,1990,60,8.1,79,10,Drama
tt0098933,True Colors,tvSeries,1990,30,7.0,143,10,Comedy
tt0098934,True Detectives,tvSeries,1990,60,7.3,34,3,Documentary
tt0098936,Twin Peaks,tvSeries,1990,47,8.8,173573,10,Crime
tt0098937,Uncle Buck,tvSeries,1990,30,5.4,138,10,Comedy
tt0098944,WIOU,tvSeries,1990,60,7.7,30,10,Drama
tt0098945,Waiting for God,tvSeries,1990,30,7.7,1591,10,Comedy
tt0098947,What a Dummy,tvSeries,1990,30,4.9,35,10,Comedy
tt0098948,Wings,tvSeries,1990,30,7.2,10686,10,Comedy
tt0098950,The Wizard of Oz,tvSeries,1990,30,6.8,182,10,Action
tt0098951,Working Girl,tvSeries,1990,30,6.6,117,10,Comedy
tt0098952,Working It Out,tvSeries,1990,30,7.0,12,10,Comedy
tt0098955,You Take the Kids,tvSeries,1990,30,7.5,8,10,Comedy
tt0098957,Zorro: The Legend Continues,tvSeries,1990,30,6.8,1476,10,Adventure
tt0098958,His Nickname Is Beast,movie,1990,88,5.4,167,10,Action
tt0098959,...Almost,movie,1990,84,5.3,113,10,Drama
tt0098961,Sheherazade,movie,1990,98,5.5,861,10,Adventure
tt0098962,12:01 PM,short,1991,25,7.6,1256,10,Other
tt0098963,1871,movie,1990,100,6.2,44,10,Drama
tt0098965,3 Little Ninjas and the Lost Treasure,movie,1993,100,2.0,698,8,Action
tt0098966,Three Men and a Little Lady,movie,1990,104,5.5,22727,10,Comedy
tt0098967,Boiling Point,movie,1990,96,6.8,6078,10,Action
tt0098968,83 Hours 'Til Dawn,tvMovie,1990,90,5.6,342,10,Crime
tt0098971,Saga of the Phoenix,movie,1990,93,5.3,129,10,Action
tt0098987,The Adventures of Ford Fairlane,movie,1990,104,6.5,17108,10,Action
tt0098990,Afghan Breakdown,movie,1991,140,7.1,419,10,Other
tt0098993,Time Off,movie,1990,45,7.0,248,10,Drama
tt0098994,After Dark My Sweet,movie,1990,114,6.6,3169,10,Crime
tt0098995,After the Shock,tvMovie,1990,100,5.9,124,10,Drama
tt0098996,Aftershock,movie,1990,91,4.3,278,9,Action
tt0098998,The Age of Insects,movie,1990,75,5.0,31,10,Comedy
tt0098999,Agneepath,movie,1990,174,7.7,8272,10,Action
tt0099004,The Ghost of Fletcher Ridge,movie,1990,90,5.0,63,10,Drama
tt0099005,Air America,movie,1990,113,5.8,26892,10,Action
tt0099012,Alice,movie,1990,106,6.6,13338,9,Comedy
tt0099014,All the Vermeers in New York,movie,1990,87,6.6,556,7,Comedy
tt0099017,Alligator Eyes,movie,1990,101,4.0,133,10,Comedy
tt0099018,Almost an Angel,movie,1990,95,5.6,4087,9,Comedy
tt0099021,Always Remember I Love You,tvMovie,1990,95,8.0,539,10,Drama
tt0099026,Into Thin Air,movie,1990,96,5.9,3098,10,Action
tt0099028,American Dream,movie,1990,98,7.9,739,10,Documentary
tt0099030,Amityville 5,video,1990,91,2.9,1796,10,Other
tt0099037,Andre's Mother,tvEpisode,1990,60,7.6,132,10,Comedy
tt0099039,Angel Town,movie,1990,102,5.1,583,10,Action
tt0099040,An Angel at My Table,movie,1990,158,7.5,6661,10,Other
tt0099041,Angel of Death,tvMovie,1990,86,5.8,153,10,Other
tt0099044,Another 48 Hrs.,movie,1990,93,5.9,38189,10,Action
tt0099045,Almost Too Late,tvMovie,1990,91,6.0,339,10,Adventure
tt0099049,Appearances,tvMovie,1990,94,6.3,14,10,Drama
tt0099050,Naked Rage,movie,1990,88,3.8,113,10,Drama
tt0099052,Arachnophobia,movie,1990,109,6.4,62989,10,Comedy
tt0099054,Archie: To Riverdale and Back Again,tvMovie,1990,100,5.4,381,10,Comedy
tt0099059,The Arrival,movie,1991,103,4.1,280,10,Other
tt0099066,Savage Attraction,movie,1990,83,4.5,19,10,Drama
tt0099073,Avalon,movie,1990,128,7.2,5671,10,Drama
tt0099074,Adventure of Catherine C.,movie,1990,100,4.7,42,10,Drama
tt0099077,Awakenings,movie,1990,121,7.8,123843,10,Other
tt0099080,A Rebel for Love,movie,1990,157,5.6,1185,10,Action
tt0099082,Babies,tvMovie,1990,92,6.5,83,10,Drama
tt0099085,Backstab,movie,1990,91,5.2,202,10,Crime
tt0099087,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,tvMovie,1990,92,6.2,130,10,Adventure
tt0099088,Three,movie,1990,118,7.4,403904,10,Adventure
tt0099090,Backstreet Dreams,movie,1990,96,5.2,193,10,Crime
tt0099091,Bad Influence,movie,1990,99,6.2,7395,10,Drama
tt0099092,Bad Jim,movie,1990,90,4.1,193,10,Other
tt0099095,Bail Jumper,movie,1990,93,6.6,42,10,Comedy
tt0099097,Sideburns,movie,1990,100,7.3,360,10,Comedy
tt0099108,House of Freaks,movie,1990,90,5.4,4418,9,Comedy
tt0099121,Berkeley in the Sixties,movie,1990,117,7.5,671,9,Documentary
tt0099125,Best Shots,movie,1990,78,5.0,9,9,Comedy
tt0099127,Bethune: The Making of a Hero,movie,1990,168,6.4,338,10,Other
tt0099128,Three Daughters,movie,1990,94,5.6,3383,10,Comedy
tt0099130,Beyond the Ocean,movie,1990,96,6.6,13,10,Drama
tt0099134,Big Bad John,movie,1990,92,5.5,125,10,Action
tt0099136,The Big Man: Crossing the Line,movie,1990,116,5.8,994,10,Crime
tt0099137,The Great Los Angeles Earthquake,tvMovie,1990,180,6.1,596,10,Action
tt0099141,Bird on a Wire,movie,1990,110,6.0,39948,10,Action
tt0099148,Blind Faith,tvMiniSeries,1990,190,7.3,293,10,Other
tt0099149,Blind Vengeance,tvMovie,1990,100,6.3,72,10,Crime
tt0099151,Blood Games,movie,1990,90,5.3,817,10,Action
tt0099153,Blood Salvage,movie,1990,98,5.0,452,10,Comedy
tt0099156,Necessity,tvMovie,1990,92,6.9,35,8,Action
tt0099157,Blue Bayou,tvMovie,1990,120,6.7,40,10,Drama
tt0099158,Blue Planet,short,1990,42,7.2,736,8,Documentary
tt0099160,Blue Steel,movie,1990,102,5.8,12480,10,Action
tt0099164,Body Chemistry,movie,1990,84,4.3,388,10,Drama
tt0099165,The Bonfire of the Vanities,movie,1990,125,5.6,21629,10,Comedy
tt0099166,Book of Love,movie,1990,82,6.3,1035,10,Comedy
tt0099167,Boom Boom,movie,1990,90,6.2,202,10,Comedy
tt0099171,Box-Office Bunny,short,1990,5,6.7,330,9,Animation
tt0099173,Paranoia,movie,1990,85,6.0,3883,10,Other
tt0099179,The Bride in Black,tvMovie,1990,96,5.9,96,10,Crime
tt0099180,Bride of Re-Animator,movie,1990,96,6.3,13852,10,Comedy
tt0099181,Bronstein's Children,movie,1991,90,6.9,16,10,Drama
tt0099182,Bronx Cheers,short,1991,30,6.8,33,8,Short
tt0099183,The Bronx War,movie,1991,91,5.7,84,8,Action
tt0099188,Buried Alive,tvMovie,1990,93,6.5,3812,10,Other
tt0099190,Burning Bridges,tvMovie,1990,95,5.9,56,10,Drama
tt0099194,Buster's Bedroom,movie,1991,104,5.5,119,10,Comedy
tt0099197,By Dawn's Early Light,tvMovie,1990,100,7.1,2708,10,Action
tt0099200,C'est la vie,movie,1990,110,6.2,603,10,Drama
tt0099201,That's the End,short,1990,2,5.7,9,4,Short
tt0099204,Cadillac Man,movie,1990,97,5.7,13314,10,Comedy
tt0099209,Call Me Anna,tvMovie,1990,97,6.6,133,10,Other
tt0099210,El Niki,movie,1990,100,6.2,157,10,Crime
tt0099212,Lights Out,tvMovie,1990,93,5.9,947,10,Action
tt0099215,Reach for the Sky,movie,1990,92,7.0,168,10,Drama
tt0099216,Campus Stalker,short,1990,3,5.5,17,4,Other
tt0099217,Pilot,tvEpisode,1990,95,7.2,18,10,Drama
tt0099223,Carnal Crimes,video,1991,94,4.3,219,10,Other
tt0099225,Caroline?,tvMovie,1990,100,7.2,409,10,Drama
tt0099226,Letters from Alou,movie,1990,100,6.7,211,10,Drama
tt0099227,Cartel,movie,1990,106,4.5,135,10,Action
tt0099230,Maximum Liability,tvMovie,1990,93,6.9,38,10,Drama
tt0099236,Common Bonds,movie,1991,109,6.4,266,10,Crime
tt0099237,Challenger,tvMovie,1990,160,5.8,327,10,Drama
tt0099245,Checkered Flag,tvMovie,1991,95,5.3,89,10,Action
tt0099253,Child's Play 2,movie,1990,84,5.9,45099,10,Other
tt0099254,Children of the Bride,tvMovie,1990,105,6.5,226,10,Drama
tt0099257,Chimps: So Like Us,short,1990,30,7.1,41,10,Documentary
tt0099259,The China Lake Murders,tvMovie,1990,97,6.0,505,10,Other
tt0099260,China O'Brien,movie,1990,86,5.2,1087,10,Action
tt0099262,Chips the War Dog,tvMovie,1990,92,6.9,229,9,Adventure
tt0099264,Master of Disaster,movie,1990,88,5.1,106,9,Action
tt0099265,The Last Princess of Manchuria,movie,1990,96,6.5,177,10,Other
tt0099266,My Mother's Castle,movie,1990,98,7.6,4782,10,Adventure
tt0099271,Circuitry Man,movie,1990,93,4.7,794,10,Action
tt0099272,City Hunter: Bay City Wars,movie,1990,45,7.1,242,10,Action
tt0099277,Class of 1999,movie,1990,99,5.9,6731,10,Action
tt0099278,Click: The Calendar Girl Killer,movie,1990,87,2.8,326,10,Other
tt0099280,Club Fed,movie,1990,93,3.5,266,10,Comedy
tt0099284,Coins in the Fountain,tvMovie,1990,98,5.9,56,10,Comedy
tt0099286,Cold Dog Soup,movie,1990,87,5.6,447,10,Comedy
tt0099288,Agenda for Murder,tvEpisode,1990,98,7.6,1331,10,Crime
tt0099289,Columbo Goes to College,tvEpisode,1990,98,7.8,1510,10,Crime
tt0099291,Come See the Paradise,movie,1990,138,6.7,2564,10,Drama
tt0099292,The Comfort of Strangers,movie,1990,107,6.3,4710,10,Drama
tt0099294,Common Ground,tvMiniSeries,1990,185,6.3,44,10,Drama
tt0099295,Complex World,movie,1991,81,4.9,123,10,Action
tt0099296,The Conviction,movie,1991,92,6.1,243,10,Drama
tt0099300,Convicts,movie,1991,93,5.8,555,10,Drama
tt0099305,Corporate Affairs,movie,1990,82,4.2,208,10,Comedy
tt0099307,The Thing,movie,1990,59,6.3,163,9,Documentary
tt0099310,Coupe de Ville,movie,1990,99,6.7,2259,10,Comedy
tt0099311,The Court-Martial of Jackie Robinson,tvMovie,1990,100,6.9,200,10,Other
tt0099312,Cover-Up,movie,1991,90,4.5,1225,10,Action
tt0099313,Crash and Burn,video,1990,85,5.1,1014,10,Other
tt0099314,Crash: The Mystery of Flight 1501,tvMovie,1990,120,5.3,264,10,Drama
tt0099315,Crazy Horse and Custer: The Untold Story,movie,1990,120,5.3,31,10,Other
tt0099316,Crazy People,movie,1990,90,6.1,4121,10,Comedy
tt0099319,Crime Lords,video,1991,96,4.5,76,10,Action
tt0099320,Crime Stopper,movie,1990,90,4.6,28,10,Action
tt0099321,Criminal Justice,tvMovie,1990,90,6.4,317,10,Drama
tt0099327,A Cry in the Wild,movie,1990,82,5.6,912,10,Action
tt0099328,Cry in the Wild: The Taking of Peggy Ann,tvMovie,1991,90,6.2,364,10,Crime
tt0099329,Cry-Baby,movie,1990,85,6.5,54982,10,Comedy
tt0099330,Crystal Force,movie,1990,82,3.4,87,10,Other
tt0099332,Curiosity Kills,tvMovie,1990,86,5.4,216,10,Other
tt0099334,Cyrano de Bergerac,movie,1990,137,7.5,22442,10,Comedy
tt0099341,Daddy Nostalgia,movie,1990,105,6.9,642,10,Drama
tt0099342,Daddy's Dyin'... Who's Got the Will?,movie,1990,95,5.7,736,10,Comedy
tt0099346,Dan Turner Hollywood Detective,video,1990,92,5.8,81,10,Crime
